#{"t_start": 1732111572.9398732, "env_id": "None"}
r,l,t
-5764.0,707,0.613607
-6942.0,839,1.288751
-5559.0,690,2.771634
-3312.0,463,2.934817
-3168.0,446,3.252105
-5260.0,668,3.588698
-6568.0,819,4.344311
-5469.0,690,4.591276
-4209.0,563,4.804475
-3885.0,528,6.09355
-3572.0,501,6.28558
-2878.0,423,6.514329
-5804.0,737,6.822403
-3718.0,521,7.602796
-3777.0,512,7.9252
-2329.0,361,8.197878
-4221.0,561,8.606994
-4336.0,572,9.763006
-2772.0,384,9.901491
-2512.0,387,10.302005
-3987.0,549,10.670166
-2115.0,347,10.930328
-3297.0,447,12.150875
-2515.0,385,12.391751
-2060.0,343,12.562556
-1831.0,321,12.76947
-2929.0,437,12.927034
-2220.0,367,14.031094
-1770.0,320,14.147707
-2907.0,453,14.316681
-1964.0,328,14.448641
-2354.0,376,14.596577
-2858.0,433,15.258548
-1814.0,314,15.379028
-2802.0,449,15.834897
-2268.0,365,16.064966
-1908.0,326,16.272422
-2327.0,383,16.423887
-1088.0,238,17.06638
-1083.0,237,17.159447
-1754.0,323,17.293155
-1927.0,334,17.43343
-2358.0,355,17.575265
-909.0,218,17.663934
-1104.0,257,17.766856
-867.0,231,18.433499
-800.0,205,18.517826
-1738.0,309,18.636035
-2878.0,442,18.811141
-1360.0,285,18.923321
-1237.0,256,19.027227
-1534.0,303,19.144977
-985.0,246,19.801428
-813.0,217,19.885567
-1134.0,259,19.982468
-678.0,208,20.182082
-1778.0,297,20.300703
-763.0,221,20.389133
-828.0,203,20.475984
-1524.0,285,20.596115
-939.0,216,20.710407
-693.0,203,21.464493
-844.0,224,21.548882
-1198.0,263,21.679947
-374.0,159,21.884583
-1488.0,296,22.012458
-1004.0,238,22.109997
-1483.0,287,22.217492
-894.0,208,22.29839
-997.0,239,22.387611
-816.0,218,23.423131
-402.0,183,23.495927
-340.0,169,23.568726
-817.0,200,23.654949
-578.0,228,23.750102
-1732.0,314,23.881778
-1028.0,244,23.98068
-734.0,244,24.086125
-205.0,128,24.140023
-800.0,218,24.763015
-603.0,192,24.838048
-658.0,211,24.917825
71.0,132,24.971622
-286.0,169,25.046459
-220.0,149,25.186031
-195.0,139,25.25809
-522.0,186,25.326771
-362.0,181,25.411821
-1960.0,367,25.661312
50.0,131,25.718764
1.0,143,26.316098
-148.0,165,26.401322
166.0,105,26.454459
166.0,124,26.498896
-124.0,149,26.558561
-209.0,148,26.61859
-1778.0,321,26.746592
-1035.0,248,26.85059
-1872.0,316,26.973888
-3074.0,458,27.144002
-1503.0,284,27.779996
-529.0,184,27.849324
-188.0,160,27.938937
-1374.0,272,28.046998
-29.0,152,28.109161
111.0,119,28.157718
-65.0,145,28.218946
-645.0,213,28.30574
-419.0,167,28.369791
-785.0,208,28.443308
173.0,129,28.505572
-337.0,167,29.046009
-329.0,180,29.113683
-848.0,222,29.203376
-188.0,147,29.260267
-1209.0,257,29.354234
-587.0,201,29.434996
40.0,138,29.485942
-239.0,129,29.532847
-343.0,163,29.597692
-28.0,138,29.647732
-143.0,137,29.699617
-2637.0,421,30.399358
-185.0,171,30.462957
140.0,123,30.50889
-282.0,180,30.576885
-2528.0,407,30.720935
-94.0,135,30.770394
1.0,141,30.821375
20.0,137,30.871479
-261.0,142,30.92512
-203.0,152,30.980438
-39.0,123,31.026589
-822.0,243,32.484032
-80.0,154,32.564906
-50.0,132,32.620064
87.0,104,32.665359
-780.0,222,32.895668
-359.0,171,32.999294
-2328.0,370,33.152862
-50.0,145,33.209373
251.0,111,33.257343
-583.0,200,33.343343
-79.0,130,33.401201
-127.0,126,33.456528
-239.0,151,34.161689
180.0,117,34.208208
-575.0,214,34.303097
150.0,132,34.359077
31.0,138,34.423827
260.0,90,34.515687
67.0,127,34.650613
-117.0,154,34.71224
265.0,94,34.753815
30.0,132,34.809157
31.0,130,34.858377
51.0,129,34.943808
92.0,116,34.991224
61.0,105,35.053652
176.0,102,35.10598
61.0,118,35.192328
-84.0,147,36.372281
177.0,112,36.41665
-149.0,136,36.46692
171.0,129,36.515206
155.0,123,36.56396
-449.0,196,36.637375
85.0,105,36.676177
-321.0,184,36.748928
-109.0,136,36.80282
-49.0,133,36.858716
-364.0,165,36.921921
-59.0,121,36.971069
-309.0,159,37.03348
-19.0,133,37.085104
-1897.0,339,37.772817
121.0,122,37.820568
280.0,88,37.854905
276.0,129,37.906504
-11.0,139,37.960247
50.0,139,38.015992
-44.0,128,38.065213
-403.0,169,38.131762
22.0,130,38.191969
-379.0,174,38.273235
-239.0,165,38.396206
-327.0,174,38.473646
22.0,129,38.607931
335.0,94,38.660917
66.0,120,39.336811
-193.0,170,39.43111
-1494.0,253,39.638347
302.0,112,39.703448
226.0,93,39.77068
-238.0,155,39.851879
100.0,115,39.899576
-19.0,121,39.988794
112.0,138,40.060329
232.0,104,40.10054
171.0,108,40.143054
-49.0,139,40.211157
-73.0,154,40.27617
6.0,140,40.333658
240.0,92,40.393724
-2982.0,452,41.478249
-241.0,207,41.55877
-2339.0,358,41.694227
-406.0,181,41.76983
86.0,142,41.828341
180.0,108,41.875993
-49.0,147,41.937402
121.0,133,41.989909
36.0,124,42.041591
116.0,129,42.093044
380.0,71,42.122334
